"","shelters.NAME","shelters.LONGITUDE","shelters.LATITUDE","shelters.CITY","shelters.ORG_NAME","shelters.ADDRLN1","shelters.PHONES","advocacy","child_care","HIV.AIDS","holiday_assistance","interpreter","personal_goods","non_profit_organization","substance_abuse","youth_services","counseling_services","domestic_violence","health_services","shelter","food_supply","recreational_services","Welfare_to_work","Adults.Education","financial_assistance","transportation"
"99","Covenant House California",-118.309407056323,34.095418966951,"Hollywood","www.covenanthouseca.org","1325 N. Western Ave.","Service/Intake and Hotline (866) 268-3683, shelter Administrative (323) 461-3131, Outreach Number (9:00am - 12:00 noon and 2:00pm - 5:00pm) Service/Intake (323) 957-7455, The Nineline Hotline/Talkline/Warmline (800) 999-9999,  FAX (323) 461-6491, Daily, 4",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
"100","Catholic Charities - Pomona Community Services",-117.720738957199,34.0614495670121,"Pomona","","1460 E Holt Ave","Service/Intake (909) 629-1331,  FAX (909) 629-1322",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
"101","St. Ambrose Episcopal Church",-117.729749057814,34.0955550667976,"Claremont","","830 W Bonita Ave","Administrative (909) 626-7170",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"102","Inland Valley Hope Partners - Claremont Center",-117.728836057623,34.1003099672812,"Claremont","www.InlandValleyHopePartners.org","660 N. Mountain Ave.","Service/Intake (909) 621-2400",0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
"103","Mental Health America Of Los Angeles - Long Beach",-118.187289056279,33.7727409672874,"Long Beach","www.village-isa.org","456 Elm Ave.","FAX (562) 437-5072,  Service/Intake (562) 437-6717",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"104","Christian Outreach In Action",-118.186048055887,33.7707209671795,"Long Beach","www.COAlongbeach.org","515 E. 3rd St.","Service/Intake and Administration (562) 432-1440,  FAX (562) 590-8984",0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
"105","Volunteers Of America - Greater Los Angeles - West Covina Outreach And Access Center",-117.945186657497,34.0697095672655,"West Covina","www.voala.org","1760 W Cameron Ave","888-50-NEEDS Service/Intake (888) 506-3337,  FAX (626) 918-5040,  Service/Intake (626) 337-9878",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"106","Pomona Neighborhood Center",-117.766965057618,34.0620999668166,"Pomona","","999 W. Holt Ave.","FAX (909) 397-9981,  Service/Intake (909) 620-7691",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"107","Los Angeles Youth Network Taft House",-118.314582055761,34.1033329666169,"Hollywood","www.layn.org","1754 Taft Ave.","Service/Intake and Administration (323) 467-8466",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"108","My Club Drop In Center",-118.292044056028,33.9589079667838,"Los Angeles","","8705 S. Vermont","Service/Intake (323) 751-2582,  FAX (323) 751-1803",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
"109","St. Catherine's Episcopal Diocese of Los Angeles",-118.293364056094,33.9592809670124,"Los Angeles","St. Catherine's Episcopal Diocese of Los Angeles","1039 W. 87th St. ","(213) 482 - 2040 
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"110","Catholic Charities Of Los Angeles - Our Lady Of The Angels Region - Metro Area - Angel's Flight Runaway And Homeless Youth Services",-118.272649056255,34.0609439665007,"Los Angeles","","357 S. Westlake Ave.","Service/Intake and Administration (213) 413-2311, Shelter / 24 Hour Intake Service/Intake (800) 833-2499",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
"111","Womenshelter Of Long Beach",-118.193300056317,33.7783749673799,"Long Beach","www.womenshelterlb.com/","930 Pacific Ave.","Service/Intake and Administration (562) 437-7233,  FAX (562) 436-4943, 562) HER HOME - 24 hrs. Service/Intake and Hotline (562) 437-4663",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
"112","House Of Hope",-118.300613056623,34.0913569671651,"Los Angeles","www.houseofhopela.com","1115 N. Normandie Ave.","FAX (323) 663-9452,  Service/Intake (323) 663-1214,  Service/Intake (323) 663-1215",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"113","Gospel Missions Of America",-117.878273057002,33.9856989676567,"Rowland Heights","www.gospelmissions.org","1803 Nausika Ave.","Service/Intake (626) 965-8922",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"114","Peregrinos De Emaus Inc",-117.904098057623,34.1296859670274,"Azusa","","447 N. Soldano Ave.","Leo - Cell Number Service/Intake (626) 388-8424, Shelter Service/Intake (626) 969-5399",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"115","Lancaster Community Shelter For The Homeless",-118.134521057851,34.6940129656245,"Lancaster","","44611 Yucca Ave.","Service/Intake and Administration (661) 945-7524",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"116","Year Round Shelter - Lancaster Community Shelter",-118.134521057851,34.6940129656245,"Lancaster","www.lahsa.org","44611 Yucca Ave.","Service/Intake and Administration (661) 945-7524",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"117","Year Round Pick-Up Site - Mental Health Association",-118.130980057245,34.6714829659425,"Lancaster","www.lahsa.org","43423 Division St.","Service/Intake (661) 945-7524",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"118","Year Round Pick-Up Site - Department Of Mental Health",-118.122940057121,34.6701719661398,"Lancaster","www.lahsa.org","349 E. Avenue K-6","Service/Intake (661) 945-7524",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"119","Year Round Pick-Up Site - Catholic Charities Community Center",-118.192920755719,33.7841048176024,"Long Beach","www.lahsa.org","123 W 14Th St","Service/Intake (323) 298-1316, Intake Service/Intake (562) 733-1147",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"120","Catholic Charities Of Los Angeles - San Pedro Region - Long Beach Community Services Center",-118.19163405579,33.7841719670178,"Long Beach","www.catholiccharitiesla.org/sanpedro.html","123 E. 14th St.","Service/Intake and Administration (562) 591-1351,  Administrative (562) 591-1641",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"121","Year Round Pick-Up Site - Long Beach Multi-Service Center",-118.209021056322,33.7820049678319,"Long Beach","www.lahsa.org","1301 W. 12th St.","Intake Service/Intake (562) 733-1147",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"122","Long Beach Rescue Mission - Lydia House Intake Site",-118.209020755807,33.782005247821,"Long Beach","","1301 W 12Th St","",0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0
"123","Year Round Shelter - Salvation Army",-118.264175055794,34.0466349664993,"Los Angeles","www.lahsa.org","832 W. James M. Wood Blvd.","Service/Intake (213) 438-1617",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"124","Year Round Shelter - Mjb Recovery, Inc.",-118.27370915659,33.9337348667511,"Los Angeles","www.lahsa.org","11152 S Main St","Service/Intake (323) 777-2491",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"125","Year Round Shelter - Volunteers Of America - Pathway To Home",-118.276110056413,34.0127899667968,"Los Angeles","www.lahsa.org","3804 Broadway Pl.","Service/Intake and Administration (323) 231-1711",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"126","Friends Helping Friends Sober And Transitional Living Inc",-118.329164056121,34.0199129669847,"Los Angeles","www.friendshelpingfriendsla.org","3701 Cherrywood Ave.","Service/Intake and Administration (323) 293-9778,  FAX (323) 293-7458",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"127","Good Shepherd Shelter",-118.316431056231,34.0436999672104,"Los Angeles","","2561 W. Venice Blvd.","Service/Intake (323) 737-6111",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"128","Lutheran Social Services Of Southern California - San Fernando And Santa Clarita Valley Area Office",-118.444481056191,34.1871969666898,"Van Nuys","www.lsssc.org","6425 Tyrone Ave.","Area Director Service/Intake and Administration (818) 901-9480,  FAX (818) 901-9482",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"129","Lutheran Social Services/Central Lutheran Church - Sfv Rescue Mission",-118.44452205609,34.1873249662563,"Van Nuys","www.sfvrescuemission.org","6425 Tyrone Blvd.","Service/Intake and Administration (818) 785-4476, Secondary Telephone Number Information (818) 901-9480",0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0
"130","Central Lutheran Church - Van Nuys",-118.444481155666,34.1871964966221,"Van Nuys","","6425 Tyrone Ave","No Telephone () -",0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
"131","Su Casa - Ending Domestic Violence",-118.116349056527,33.8286399674183,"Long Beach","www.sucasadv.org","3840 Woodruff Ave.","Administrative (562) 421-6537,  FAX (562) 421-8117, 24-hour Hotline Service/Intake/Hotline (Voice/TDD) (562) 402-4888",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
"132","Testimonial Community Love Center",-118.30913105562,33.9904589672693,"Los Angeles","","5721 S. Western Ave.","FAX (323) 292-1512,  Service/Intake and Administration (323) 291-6753",0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
"133","Foothill Unity Center Inc - Monrovia",-118.008138056615,34.1428379671259,"Monrovia","www.foothillunitycenter.org","415 W. Chestnut Ave.","FAX (626) 358-8224,  Service/Intake and Administration (626) 358-3486",0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
"134","Good Shepherd Center For Homeless Women - Hawkes Transitional Residence",-118.264443056203,34.0650719666137,"Los Angeles","www.gschomeless.org/","1640 Rockwood St.","FAX (213) 482-0299,  Service/Intake (213) 482-0281",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"135","Good Shepherd Center For Homeless Women - Languille Residence - Emergency Shelter",-118.263336056051,34.0662169666915,"Los Angeles","www.gschomeless.org/","267 N. Belmont Ave.","Service/Intake and Administration (213) 250-5241,  FAX (213) 250-5073",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"136","First United Methodist Church Of Compton",-118.20686105593,33.8875239676015,"Compton","","1025 S. Long Beach Blvd.","Service/Intake (310) 639-0775",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"137","San Fernando Valley Rescue Mission",-118.425598056509,34.2086759662904,"North Hollywood","www.sfvrescuemission.org","13422 Saticoy St.","FAX (818) 474-1294, Donations Pick-ups Service/Intake (800) 417-5678, Bob - for space availability Information Only (661) 965-0180,  Service/Intake and Administration (818) 785-4476",0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0
"138","North Hollywood 1St Baptist Church - Sfv Rescue Mission",-118.374935055695,34.1628539664061,"North Hollywood","www.sfvrescuemission.org","11210 Otsego St.","Service/Intake (818) 763-4356,  Service/Intake (818) 980-7370",0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0
"139","Christian Outreach In Action - Transitional Housing",-118.196027056099,33.7926459675854,"Long Beach","www.COAlongbeach.org","1950 Chestnut Ave.","Service/Intake (562) 432-1440",0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
"140","L A Gay And Lesbian Center - Highland Annex",-118.338414256169,34.0932265969308,"Los Angeles","www.lagaycenter.org","1220 N Highland Ave","Service/Intake (323) 860-2280, LGBTQ Youth Hotline Hotline/Talkline/Warmline (323) 461-8163,  Service/Intake (323) 993-7501",0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"141","St. Philomena Church",-118.276746055761,33.828858967426,"Carson","","21900 S. Main St.","Service/Intake and Administration (310) 835-7161, Contributions or Volunteers Service/Intake (310) 830-5294",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"142","Vets On The Move Foundation",-118.270433156169,33.8320841369368,"Carson","","357 E Carson St","Service/Intake and Administration (310) 518-4121, Emergency After Hours (310) 415-4254",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"143","East San Gabriel Valley Coalition For The Homeless",-117.978920056886,34.0101109675114,"Hacienda Heights","","1345 Turnbull Canyon Rd.","Service/Intake (626) 333-7204,  FAX (626) 333-7260",0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
"144","Jordan's Disciples Community Service - Root 66",-118.204697056207,33.9210849673749,"Lynwood","www.jordansdisciplescommunityservice.org","3669 Louise St.","Ms. Scott Administrative (310) 876-5390,  Service/Intake (424) 228-0343, Ms. Walston Service/Intake (310) 213-0840, Ms. Scott Service/Intake (310) 213-0203,  Service/Intake (562) 618-1857",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"145","Salvation Army Corps Community Center - Huntington Park",-118.216134056462,33.9812719671952,"Huntington Park","www1.usw.salvationarmy.org/usw/www_usw_southeastcommunities.nsf","2965 E. Gage Ave.","Service/Intake (323) 587-4221,  FAX (323) 587-3973",0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0
"146","Catholic Charities Of Los Angeles - Brownson House",-118.22021805616,34.0520219672059,"Los Angeles","www.CatholicCharitiesLA.org","1307 Warren St.","Regional Office Administrative (323) 266-3130,  Service/Intake (323) 264-8701, Appointments Service/Intake (323) 264-8700",0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0
"147","Tujunga United Methodist Church",-118.277120056727,34.2482949661981,"Tujunga","","9901 Tujunga Canyon Blvd.","Service/Intake and Administration (818) 473-4185",0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0
"148","Interval House",-118.108203055771,33.755172967368,"Long Beach","www.intervalhouse.org","6615 E. Pacific Coast Highway","Administrative (562) 594-9492, L A County - 24 hours Service/Intake and Hotline (562) 594-4555",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
"149","Mental Health America Of Los Angeles - Antelope Valley Services - Discovery Resource Center",-118.100671057338,34.5797709660376,"Palmdale","www.mhala.org","1609 E. Palmdale Blvd.","FAX (661) 575-1682,  Service/Intake (661) 947-1595",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
"150","Center For Human Rights And Constitutional Law - Homeless Youth Project",-118.27991605672,34.0540479665381,"Los Angeles","casa-libre.org","845 S. Lake St.","Administrative (213) 388-8693 Ext.307,  FAX (213) 386-9484,  Service/Intake (213) 637-5814",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"151","Inland Valley Hope Partners - Our House Shelter Administrative Office",-117.752859056903,34.0774379673301,"Pomona","www.InlandValleyHopePartners.org","1753 N. Park Ave.","Housing/Shelter Intake Service/Intake (909) 622-3806 Ext.235, Administrative Office FAX (909) 622-0484",0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
"152","Inland Valley Hope Partners - Beta Food Security Site",-117.753389757323,34.0644239868435,"Pomona","www.InlandValleyHopePartners.org","290 W Pearl St","Emergency Food Beta Center Service/Intake (909) 622-7278",0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
"153","Berean 7Th Day Adventist Church Community Services",-118.331133056578,34.0327579672708,"Los Angeles","berean29.adventistchurchconnect.org/index.php","4211 W. Adams Blvd.","Service/Intake and Administration (323) 735-0228,  FAX (323) 766-7552",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"154","Church Of The Redeemer",-117.97683505721,34.080116966929,"Baldwin Park","www.cotrbp.org","3739 Monterey Ave.","FAX (626) 960-9587,  Service/Intake and Administration (626) 960-9585",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"155","Filipino American Service Group Inc",-118.273482056778,34.0692939666159,"Los Angeles","www.fasgi.org","135 N. Park View St.","Service/Intake and Administration (213) 487-9804,  FAX (213) 487-9806",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"156","Ella's Foundation",-118.283973456773,34.025917566965,"Los Angeles ","Ella's Foundation","3175 S. Hoover St.","(323) 761 - 6415
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"157","California Council For Veterans' Affairs, Inc.",-118.320855356592,33.9747386273696,"Los Angeles","","2501 W. Florence Ave.","FAX (323) 750-8034,  Service/Intake (323) 750-9967",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"158","Homeless Outreach Program/Integrated Care System (HOPICS)",-118.27866305599,33.9903829671909,"Los Angeles","Homeless Outreach Program/Integrated Care System (HOPICS)","5715 S. Broadway","Service/Intake (323) 948-0444,  Service/Intake (323) 948-0444,  FAX (323) 948-0443",1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"159","People Assisting the Homeless (PATH) -  West Los Angeles",-118.436976855695,34.0367555368136,"Los Angeles","","2346 Cotner Ave.","West LA Job Center Service/Intake (310) 996-0034 Ext.108,  Service/Intake and Administration (310) 996-0034",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"160","Homeless Health Care Los Angeles",-118.27383025595,34.0679824466939,"Los Angeles","Homeless Health Care Los Angeles","2330 Beverly Blvd.","I and R/Needle Exchange/Drug Treatment/Training Service/Intake and Administration (213) 744-0724, Needle Exchange Service/Intake (213) 617-8408,  FAX (213) 746-2432, CASC/Drug and Mental Health Assessment Service/Intake (213) 342-3114
",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"161","City Of Refuge Rescue Ministry",-118.287766856412,33.9602121268041,"Los Angeles","City Of Refuge Rescue Ministry","823 W. Manchester Blvd.","Service/Intake and Administration (323) 759-2544,  FAX (323) 759-2856, Case Manager - Mr. Johnson Service/Intake (323) 759-4209, Case Manager - Ms. Brown Service/Intake (323) 756-4229",0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"162","St. Mark's Evangelical Lutheran Church",-118.291734855708,34.0218228371504,"Los Angeles","","3651 S. Vermont Ave.","FAX (323) 731-6104,  Service/Intake and Administration (323) 731-2157",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"163","St. Agnes Catholic Church",-118.291748956573,34.0319520673158,"Los Angeles","","2625 S. Vermont Ave.","Service/Intake (323) 731-2464 Ext.107,  FAX (323) 731-6186
",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"164","Angel Step Inn Domestic Violence Emergency Shelter",-118.096111156493,33.9827293673286,"Pico Rivera","","9047 Washington Blvd","Service/Intake (562) 949-5358,  FAX (323) 255-0012, 24-Hr. Hotline  323-780-HELP Service/Intake and Hotline (323) 780-4357, Shelter Admin. Administrative (323) 780-7285,  FAX (323) 780-7235,  FAX (562) 941-6106, 24-Hr. Hotline Service/Intake and Hotline (",0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0
"165","Long Beach Family Shelter For The Homeless",-118.187983055797,33.7816619672799,"Long Beach","","Long Beach Family Shelter","People w/ Disabilities -  Disabled Resources Center Service/Intake (562) 427-1000, Catholic Charities Administration (562) 591-1351, Long Beach Multi-Service Center Service/Intake (562) 733-1147,  Administrative (562) 388-7670",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"166","Free Spirit: For Victims Of Domestic Violence",-118.264150056771,34.0429629672615,"Los Angeles","","","24-Hour All Services Hotline Hotline/Talkline/Warmline (800) 548-2722, Free Spirit Shelter Hotline Hotline/Talkline/Warmline (323) 937-1312, Chicana Service Action Center Administrative (213) 629-5800,  Service/Intake and Administration (323) 937-1368",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"167","Ywca Glendale - Ywca Battered Women's Shelter - Sunrise Village",-118.235978056583,34.1557049670364,"Glendale","","","DV hotline (24 hrs.) Service/Intake/Hotline (Voice/TDD) (888) 999-7511",0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
"168","Domestic Violence Center Of Santa Clarita",-118.518513055729,34.3843529658377,"Newhall","","","661-254-TEEN for Teen Hotline Hotline/Talkline/Warmline (661) 254-8336,  FAX (661) 259-1194,  Service/Intake and Administration (661) 259-8175, 24-Hours Service/Intake and Hotline (661) 259-4357",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"169","Zoe Christian Fellowship - Sfv Rescue Mission",-118.537488055738,34.2004942561167,"Reseda","","7143 Baird Ave","Administrative (818) 785-4476",0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0
"170","Chatsworth Foursquare Church - Sfv Rescue Mission",-118.597132155881,34.2558071064677,"Chatsworth","","10210 Canoga Ave","Administrative (818) 785-4476",0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0
"171","Salvation Army Haven Program - Bldg. 212",-118.453568756133,34.0550834171165,"Los Angeles","","11301 Wilshire Blvd","Administration (310) 478-3711 Ext.44353, Senior Program - Tamara Komashko Service/Intake (310) 478-3711 Ext.43014, Alpha Center Program - Vance Poletto Service/Intake (310) 478-3711 Ext.44360, Naomi House Program - Victoria Curtin Service/Intake (310) 478",0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0
"172","Salvation Army Haven Program - Bldg. 207",-118.453568756133,34.0550834171165,"Los Angeles","","11301 Wilshire Blvd","Exodus Lodge - Mary A. Holmes Service/Intake and Administration (310) 478-3711 Ext.42811",0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0
"173","Year Round Shelter - California Hispanic Commission On Alcohol & Drug Abuse Inc.",-118.034253956433,34.0730652566556,"El Monte","","11046 Vly Mall","Service/Intake (626) 444-9000",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"174","San Pablo Lutheran Church - North Hollywood",-118.378967455862,34.2048639862092,"North Hollywood","","7400 Tujunga Ave","No Telephone () -",0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
"175","St. David's Episcopal Church - North Hollywood",-118.384812255995,34.1650341869317,"North Hollywood","","11605 Magnolia Blvd","No Telephone () -",0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
"176","American Philanthropy Association - Don King Shelter",-118.277966555736,33.9573605472166,"Los Angeles","","8770 S Broadway","Single Women Only Service/Intake (323) 971-4432",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"177","Housing Coalition Education",-118.293448055721,34.013485967305,"Los Angeles","","1051 Laighton Avenue","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"178","Family Source Center",-118.308685855415,33.7383764676501,"Los Angeles","Family Source Center","9219 S. Broadway Avenue","(323) 777 - 3120
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"179","Housing - Immanuel Housing Inc. Immanuel House of Hope",-118.240169056158,33.9607649673946,"Los Angeles ","Immanuel Housing Inc. Immanuel House of Hope","1800 E. 85th Street","(323) 256 - 6975
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"180","1736 Family Crisis Center",-118.317521556392,34.0374599169474,"Los Angeles","","2116 Arlington Ave","24 Hrs-Crisis Hotline Service/Intake and Hotline (213) 222-1237, 24 Hrs-Youth Crisis/Shelter Hotline Service/Intake and Hotline (310) 379-3620, 24 Hrs-DV Shelter Hotline Service/Intake and Hotline (310) 370-5902, Community Service Center Service/Intake an",0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0
"181","1736 Family Crisis Center - Emergency Youth Shelter",-118.399235056328,33.8668419669652,"Hermosa Beach","","1736 Monterey Blvd.","24 Hrs-Youth Crisis/Shelter Hotline Service/Intake and Hotline (310) 379-3620",0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0
